COD. ÁREA,ÁREAS,COD. PERFIL,OFERTAS FORMATIVAS,CARGA HORARIA HS. RELOJ,REQUISITOS DE INGRESO,CERTIFI-CADO,CERTIFI-CACION,PROGRAMACIÓN,INSTRUMENTO LEGAL,OBSERVACIONES
I,GESTIÓN DE LAS ORGANIZACIONES Y RECURSOS HUMANOS,05,AUXILIAR DE SECRETARIO EJECUTIVO,250,Secundaria o Equivalente,Nivel III,Ministerial,Rev. STFP II B,,
,,06,SECRETARIO EJECUTIVO,500,Aux. Secretario Ejecutivo,Nivel III,Ministerial,,,
,,10,ORGANIZACIÓN  DE COOPERATIVAS,125,Secundaria o Equivalente (o acreditar que esta en un programa de terminalidad),Nivel III,Ministerial,Rev. STFP II H,Expediente Nº 50/13,
,,11,AUXILIAR PROTOCOLAR PARA LAS  RELACIONES INSTITUCIONALES,250,Secundaria o Equivalente,Nivel III,Ministerial ,Rev. STFP II D,Expediente Nº 19/10,
,,12,ASESOR PROTOCOLAR PARA LAS  RELACIONES INSTITUCIONALES,250, Auxiliar Protocolar p/las Relaciones Institucionales ,Nivel III,Ministerial ,Rev. STFP II D,Expediente Nº 20/10,
,,14,ASISTENTE JURÍDICO,150,Secundaria o Equivalente,Nivel III,Ministerial,DC - FORM. 03 FP Nuevo STFP II - I,Expediente Nº 63/14. Elaborado por. Área  de Evaluación a pedido de Coord. FP,
,,16,ASISTENTE PARA LA ADMINISTRACIÓN,125,Secundaria o Equivalente,Nivel III,Ministerial,DC - FORM - 03 - Equipo de Diseño 2023,,
,,22,ASISTENTE/A PARA ADMINISTRACIÓN Y GESTIÓN CON HERRAMIENTAS INFORMÁTICAS,360,Secundaria o Equivalente,Nivel III,Ministerial,Marco de Referencia ,Res. CFE N° 460/23,
,,23,PROMOTOR/A DE COOPERATIVAS Y MUTUALES,360,Secundaria o Equivalente,Nivel II,Ministerial,Marco de Referencia ,Res. CFE N° 474/24,
II,INFORMÁTICA,03,OPERADOR  DE INFORMÁTICA PARA ADMINISTRACIÓN Y GESTIÓN,250,Primaria o Equivalente ,Nivel II,Ministerial  ,Diseño Curricular , Res. 36/15 ME-Chubut - Res.  RINET-Homologación N° 373/16,
,,04,OPERADOR DE BASES DE DATOS PARA OFICINA,125,Ciclo Básico o EGB 3 - Operador de Inf. para Adm. y Gestión y/o acreditar conocimiento,Nivel III,Ministerial ,Rev. RED- II E,Expediente Nº 39/11,
,,05,INTRODUCCIÓN AL DIBUJO TÉCNICO ASISTIDO  POR P.C.,125,Primaria o Equivalente,Nivel II,Ministerial,Rev.STFP II C,,
,,06,DIBUJO ASISTIDO POR COMPUTADORA  ,125, Ciclo basico o EGB 3 + Acreditar Dibujo Técnico y manejo de P.C. ,Nivel III,Ministerial,Rev. STFP II B,,Capacitación para profesionales 
,,07,OPERADOR DE HERRAMIENTAS DE DISEÑO GRÁFICO EN COMPUTADORA,250,Ciclo Básico o EGB 3  + Acreditar manejo  de P.C.,Nivel III,Ministerial,DC - FORM - 03 - Equipo de Diseño 2018,Expediente N° 78/2018,
,,08,DISEÑADOR Y ADMINISTRADOR  DE PÁGINAS WEB,250,Ciclo Básico o EGB 3 + Operador de Inf. para Adm. y Gestión y/o acreditar conocimiento,Nivel III,Ministerial ,DC - FORM - 03 - Equipo de Diseño 2018,Expediente N° 87/2018 antes expediente Nº 40/11 ,
,,09,MANTENIMIENTO Y REPARACIÓN DE EQUIPOS INFORMÁTICOS,250,Ciclo Básico o EGB 3  + Acreditar conocimiento de P.C.,Nivel III,Ministerial ,Rev. RED- II D, Expedienten Nº 01/10,
,,10,INFORMÁTICA MULTIMEDIAL,125,Primaria o Equivalente ,Nivel II,Ministerial ,Rev. RED- II F, Expediente Nº 45/12,
,,11,INSTALADOR DE REDES INFORMÁTICAS,250,"Secundaria o Equivalente + ""Mantenimiento y reparacion de equipos informaticos""",Nivel III,Ministerial ,Rev. RED- II H, Expediente Nº 51/13,
,,12,AUXILIAR EN INFORMÁTICA Cisco IT Essentials,250,Secundario o Equivalente,Nivel III,CISCO-INET,DC - FORM - 03 - Nuevo - STFP II,Expediente N° 76/16,
,,13,PROGRAMADOR ,364,Secundaria o Equivalente ,Nivel III,Ministerial,Marco de Referencia ,Res. CFE N° 289/16,
,,14,INSTALADOR EN REDES INFORMÁTICAS Cisco Networking Essentials,125,Secundaria o Equivalente  + Acreditar conocimiento de P.C.,Nivel III,Ministerial,DC - FORM - 03 - Equipo de Diseño 2018, Expediente Nº 90/19,
,,15,ASISTENTE EN SEGURIDAD INFORMÁTICA,125,Secundaria o Equivalente  + Acreditar conocimiento de P.C.,Nivel III,Ministerial,, Expediente Nº 91/19,
,,16,OPERADOR BÁSICO DE IMPRESORAS 3D,125,Ciclo Básico o EGB 3  + Acreditar manejo  de P.C.,Nivel III,Ministerial,DC - FORM - 03 - Equipo de Diseño 2021,,
,,20,MODELADOR PARA IMPRESIÓN 3D,240,Ciclo Básico o EGB 3  + Acreditar manejo  de P.C.,Nivel II,Ministerial,DC - FORM - 03 - Equipo de Diseño 2025,,
III,SERVICIOS PARA LA INDUSTRIA Y EL COMERCIO,02,ATENCIÓN AL CLIENTE,125,Primaria o Equivalente,Nivel II,Ministerial  ,Rev. STFP II B,,
,,03,AUXILIAR DE COMERCIO Y OFICINA,125,Ciclo Básico o EGB 3,Nivel III,Ministerial  ,,,
,,04,COMMUNITY MANAGER,125,Secundaria o Equivalente  + Acreditar conocimiento de P.C.,Nivel III,Ministerial,DC - FORM - 03 - Equipo de Diseño 2021,,
